x,y,z
64.53212068,45.01940217,-2.648892584
64.41755199,45.27762641,-2.650002922
64.30033686,45.53465581,-2.651866456
64.18048667,45.79046072,-2.654465642
64.05801372,46.04501202,-2.657782695
63.93293126,46.29828113,-2.661799606
63.80525342,46.55024008,-2.666498165
63.67499521,46.80086149,-2.671859971
63.54217251,47.05011864,-2.677866459
63.40680218,47.2979851,-2.684498901
63.26890153,47.54443593,-2.691738458
63.12848893,47.78944629,-2.699566163
62.9855835,48.03299208,-2.707962954
62.84020485,48.27504996,-2.716908468
62.69237288,48.5155936,-2.726369976
62.54210156,48.75460571,-2.736308166
62.38941091,48.992061,-2.746683455
62.23431988,49.22793782,-2.757456554
62.07684804,49.46221534,-2.76858839
61.91701562,49.69487348,-2.78004014
61.75484347,49.92589293,-2.791773254
61.59035301,50.15525519,-2.803749491
61.42356725,50.38294114,-2.815930869
61.25450758,50.60893545,-2.828279928
61.08319731,50.8332216,-2.840759489
60.90966004,51.05578412,-2.853332802
60.73392067,51.27660728,-2.865963464
60.55599852,51.49567546,-2.878610144
60.37590582,51.71296526,-2.891219863
60.19365615,51.92845075,-2.903738642
60.00925849,52.14211282,-2.916113644
59.82272763,52.35392691,-2.928292478
59.63407777,52.56387061,-2.940223669
59.443324,52.77192194,-2.951856578
59.25048336,52.97805826,-2.963141364
59.05557203,53.1822593,-2.97402918
58.85860898,53.38450333,-2.984471983
58.65961059,53.58477266,-2.994422843
58.45859755,53.78304666,-3.003835608
58.25559069,53.97930607,-3.01266515
58.0506137,54.1735302,-3.020867233
57.84367874,54.36569764,-3.028395475
57.63479231,54.55577003,-3.035198205
57.42395985,54.74370872,-3.04122419
57.21119217,54.92947157,-3.046423138
56.99649136,55.1130253,-3.050746051
56.77986992,55.2943288,-3.054144767
56.56133943,55.47334324,-3.056572277
56.34091459,55.65002877,-3.057982678
56.11860929,55.82434771,-3.05833124
55.89444115,55.99626109,-3.057574399
55.6684264,56.1657327,-3.055669791
55.44058573,56.33272461,-3.052576303
55.21094091,56.4972,-3.048254106
54.97951695,56.65912165,-3.042664739
54.74633867,56.81845235,-3.035771394
54.5114202,56.97514492,-3.027540937
54.27477692,57.12914209,-3.017942413
54.03642622,57.28038587,-3.006945526
53.79638502,57.4288193,-2.994520526
53.55467451,57.57438369,-2.980638478
53.31131309,57.71702293,-2.965270907
53.06632596,57.85667797,-2.9483904
52.81974043,57.99328986,-2.929970433
52.57158361,58.12680122,-2.909985235
52.32188844,58.25715307,-2.88841032
52.07068193,58.38429116,-2.865221536
51.81800111,58.50815782,-2.840396499
51.56388298,58.62869742,-2.81391382
51.30836803,58.74585483,-2.785753493
51.05149778,58.85957657,-2.755896994
50.79331471,58.96980745,-2.724335604
50.53385631,59.07649069,-2.691070286
50.27316582,59.17956624,-2.656102832
50.01128806,59.27897313,-2.619434875
49.74826712,59.37465038,-2.581067631
49.48415363,59.46653464,-2.541003044
49.21898836,59.55456602,-2.499241373
48.95282541,59.63868021,-2.455784794
48.68571741,59.71881399,-2.41063527
48.41771913,59.7949041,-2.363795174
48.14888981,59.86688689,-2.315267808
47.87928619,59.93470044,-2.26505623
47.60897016,59.99828269,-2.2131647
47.33800569,60.05757254,-2.159598236
47.06645987,60.11250989,-2.104362903
46.79440252,60.16303616,-2.047466004
46.52190163,60.20910295,-1.988925366
46.24902805,60.25067412,-1.928776086
45.9758556,60.28771243,-1.867054401
45.70245143,60.32017966,-1.803793977
45.42889048,60.34803481,-1.739029258
45.15524718,60.3712355,-1.67279372
44.8815975,60.38973785,-1.605120431
44.60802093,60.40349661,-1.536042639
44.33459454,60.4124657,-1.465592385
44.0614007,60.41659799,-1.393802511
43.78852326,60.41584578,-1.320705816
43.5160484,60.41016104,-1.246335355
43.24406585,60.39949571,-1.170724876
42.97266511,60.38380186,-1.093907849
42.70194033,60.36303217,-1.015918924
42.43198818,60.33714022,-0.936793424
42.16290794,60.30608179,-0.856568084
41.89479176,60.26983902,-0.77529371
41.62772683,60.22842045,-0.693036571
41.3617999,60.18183287,-0.60986255
41.09709861,60.13008007,-0.525836718
40.83371222,60.07316317,-0.441023678
40.57173027,60.01108039,-0.355487206
40.31124494,59.9438277,-0.269291101
40.05235024,59.87139883,-0.182499003
39.79514246,59.79378554,-0.095174636
39.53972027,59.71097782,-0.007381926
39.28618511,59.62296421,0.080814804
39.03464134,59.52973209,0.169350681
38.78519647,59.43126799,0.258160145
38.53796125,59.32755795,0.347176812
38.2930499,59.21858786,0.436333341
38.05057958,59.10434357,0.525561544
37.81067281,58.98481262,0.614791354
37.57344044,58.86000584,0.703946113
37.33896295,58.7299832,0.792936265
37.10731846,58.59480939,0.881670187
36.87858529,58.45454599,0.970056474
36.65284275,58.30925188,1.058003557
36.43017033,58.15898253,1.145419969
36.21065238,58.00379311,1.232212445
35.99437245,57.84373469,1.318288051
35.78141745,57.67885699,1.403552477
35.57187541,57.50920671,1.487910858
35.36584099,57.334832,1.571265472
